month,dow,hour,bike_trips,bike_dur_tot,NO2,PM10,PM2_5,NOx,O3,Veloc,Temp
1,0,0,2132,31120,33.44444444444444,30.25,23.48918918918919,65.83720930232558,24.97142857142857,1.58,9.73
1,0,1,872,13144,27.833333333333332,30.615384615384617,22.927500000000002,45.28260869565217,25.848484848484848,2.096,9.695
1,0,2,540,8788,21.5625,25.58974358974359,20.1025,34.21739130434783,28.303030303030305,2.092,9.295
1,0,3,372,4964,17.5625,20.512820512820515,16.4025,26.73913043478261,31.393939393939394,2.032,9.015
1,0,4,364,5268,17.458333333333332,18.871794871794872,14.7775,25.195652173913043,31.333333333333332,2.108,8.875
1,0,5,836,10788,20.666666666666668,17.128205128205128,12.7025,30.23913043478261,29.939393939393938,1.9240000000000002,8.855
1,0,6,2996,85760,30.291666666666668,18.794871794871796,11.627500000000001,57.23913043478261,22.636363636363637,1.744,8.675
1,0,7,9272,190724,41.765957446808514,25.897435897435898,11.8025,105.88888888888889,17.1875,2.024,8.48
1,0,8,13096,322440,49.787234042553195,38.794871794871796,14.352500000000001,140.95555555555555,15.0,2.068,8.78
1,0,9,9748,167796,48.41304347826087,39.56410256410256,15.0775,123.61363636363636,19.93548387096774,2.1,10.345
1,0,10,8792,212644,39.56521739130435,34.26315789473684,16.07948717948718,87.5,27.741935483870968,2.112,12.43
1,0,11,9620,222184,34.71111111111111,32.361111111111114,15.566666666666666,70.37209302325581,34.233333333333334,1.744,14.51
1,0,12,10148,328324,30.130434782608695,29.18918918918919,14.335897435897436,58.18181818181818,42.096774193548384,1.604,16.035
1,0,13,12832,313336,26.25531914893617,28.342105263157894,13.951282051282051,48.22222222222222,50.375,1.8359999999999999,16.905
1,0,14,17692,231320,26.595744680851062,27.263157894736842,13.61794871794872,45.71111111111111,52.75,2.3280000000000003,16.5
1,0,15,15024,203768,26.51063829787234,27.55263157894737,14.310256410256411,43.68888888888889,56.34375,2.7560000000000002,16.505000000000003
1,0,16,13172,202524,29.46808510638298,29.57894736842105,14.925641025641026,47.77777777777778,54.625,2.572,16.55
1,0,17,13248,197732,37.48936170212766,30.394736842105264,15.002564102564103,57.24444444444445,48.25,2.04,15.430000000000001
1,0,18,12168,245048,48.361702127659576,34.86842105263158,16.617948717948718,81.82222222222222,34.84375,1.604,13.315000000000001
1,0,19,11476,225572,53.659574468085104,32.18421052631579,18.72051282051282,90.73333333333333,27.25,1.4080000000000001,12.34
1,0,20,10900,165400,52.891304347826086,35.68421052631579,20.900000000000002,94.0,28.870967741935484,1.5919999999999999,11.934999999999999
1,0,21,7744,117212,45.26086956521739,37.31578947368421,22.105128205128207,85.79545454545455,36.16129032258065,2.204,11.879999999999999
1,0,22,4116,59492,39.91304347826087,35.23684210526316,23.233333333333334,82.4090909090909,36.483870967741936,1.84,11.095
1,0,23,3024,39972,34.91489361702128,34.55263157894737,23.387179487179488,71.06666666666666,37.1875,1.8159999999999998,10.675
1,1,0,1160,18532,32.029411764705884,32.25925925925926,23.182142857142857,49.1875,31.03846153846154,1.605,10.025
1,1,1,484,21340,25.0,24.387096774193548,16.870967741935484,31.666666666666668,35.74074074074074,1.955,10.3
1,1,2,288,3512,14.27027027027027,18.06451612903226,11.387096774193548,18.36111111111111,47.2962962962963,2.3449999999999998,10.175
1,1,3,232,3224,10.864864864864865,15.03225806451613,9.483870967741936,14.055555555555555,52.2962962962963,2.855,9.71875
1,1,4,212,2420,12.324324324324325,15.419354838709678,9.419354838709678,16.444444444444443,51.25925925925926,2.455,9.41875
1,1,5,500,6016,17.72972972972973,15.451612903225806,9.32258064516129,24.47222222222222,46.407407407407405,1.8800000000000001,9.43125
1,1,6,1808,63044,27.864864864864863,16.870967741935484,9.612903225806452,49.833333333333336,35.96296296296296,1.7149999999999999,9.375
1,1,7,6852,198924,37.5,20.806451612903224,10.129032258064516,78.17142857142858,29.192307692307693,2.205,9.549999999999999
1,1,8,10020,185000,44.37837837837838,28.5,12.15625,105.66666666666667,25.37037037037037,1.955,9.6125
1,1,9,7564,187424,43.75675675675676,30.46875,13.375,109.47222222222223,27.444444444444443,1.4600000000000002,10.6875
1,1,10,6276,127252,40.4054054054054,25.53125,11.34375,86.58333333333333,33.592592592592595,1.44,11.98125
1,1,11,7640,178528,31.88888888888889,26.70967741935484,9.875,62.94285714285714,43.96,1.9649999999999999,13.825
1,1,12,7556,221136,25.18918918918919,23.96875,8.53125,44.55555555555556,52.15384615384615,2.325,15.28125
1,1,13,9704,239172,23.763157894736842,22.90625,8.59375,39.891891891891895,58.0,2.45,15.5375
1,1,14,13208,181984,18.710526315789473,20.8125,8.0,30.7027027027027,64.11111111111111,2.55,16.25625
1,1,15,11948,166276,20.076923076923077,21.3125,8.375,32.31578947368421,64.88888888888889,2.54,16.4625
1,1,16,10348,144176,24.28205128205128,22.625,8.875,37.89473684210526,61.92857142857143,2.105,16.55625
1,1,17,11288,166476,35.87179487179487,24.6875,9.0625,49.44736842105263,50.535714285714285,1.935,15.5875
1,1,18,12004,219128,45.64102564102564,25.59375,10.28125,72.86842105263158,38.607142857142854,1.45,14.0875
1,1,19,10820,329996,50.1578947368421,29.451612903225808,12.85,76.41666666666667,31.153846153846153,1.67,13.30625
