codigo_estacion,hour,prestamos_mean,devol_mean,nearest_aq_station,dist_km,NO2,PM10,PM2_5
1,0,0.5698630136986301,0.6219178082191781,46250049,0.6997948549650606,,,
1,1,0.27945205479452057,0.2876712328767123,46250049,0.6997948549650606,,,
1,2,0.19452054794520549,0.15342465753424658,46250049,0.6997948549650606,,,
1,3,0.12602739726027398,0.08493150684931507,46250049,0.6997948549650606,,,
1,4,0.052054794520547946,0.057534246575342465,46250049,0.6997948549650606,,,
1,5,0.14794520547945206,0.06575342465753424,46250049,0.6997948549650606,,,
1,6,0.4054794520547945,1.0082191780821919,46250049,0.6997948549650606,,,
1,7,1.2027397260273973,1.5095890410958903,46250049,0.6997948549650606,,,
1,8,2.4,2.1726027397260275,46250049,0.6997948549650606,,,
1,9,2.0575342465753423,1.8657534246575342,46250049,0.6997948549650606,,,
1,10,1.9972602739726026,1.9698630136986301,46250049,0.6997948549650606,,,
1,11,2.1315068493150684,2.2465753424657535,46250049,0.6997948549650606,,,
1,12,2.4876712328767123,2.6410958904109587,46250049,0.6997948549650606,,,
1,13,2.8958904109589043,2.367123287671233,46250049,0.6997948549650606,,,
1,14,3.578082191780822,2.378082191780822,46250049,0.6997948549650606,,,
1,15,2.4438356164383563,2.8547945205479452,46250049,0.6997948549650606,,,
1,16,2.1041095890410957,2.654794520547945,46250049,0.6997948549650606,,,
1,17,2.873972602739726,3.03013698630137,46250049,0.6997948549650606,,,
1,18,2.8794520547945206,3.0027397260273974,46250049,0.6997948549650606,,,
1,19,2.723287671232877,2.8219178082191783,46250049,0.6997948549650606,,,
1,20,2.736986301369863,2.1835616438356165,46250049,0.6997948549650606,,,
1,21,1.7178082191780821,1.6493150684931508,46250049,0.6997948549650606,,,
1,22,0.8410958904109589,1.0410958904109588,46250049,0.6997948549650606,,,
1,23,0.5260273972602739,0.6356164383561644,46250049,0.6997948549650606,,,
2,0,0.810958904109589,0.5342465753424658,46250049,0.5425519970772064,,,
2,1,0.4438356164383562,0.38082191780821917,46250049,0.5425519970772064,,,
2,2,0.1917808219178082,0.1506849315068493,46250049,0.5425519970772064,,,
2,3,0.16986301369863013,0.11232876712328767,46250049,0.5425519970772064,,,
2,4,0.052054794520547946,0.0547945205479452,46250049,0.5425519970772064,,,
2,5,0.07397260273972603,0.030136986301369864,46250049,0.5425519970772064,,,
2,6,0.20273972602739726,0.15342465753424658,46250049,0.5425519970772064,,,
2,7,1.789041095890411,0.547945205479452,46250049,0.5425519970772064,,,
2,8,1.4821917808219178,1.63013698630137,46250049,0.5425519970772064,,,
2,9,2.063013698630137,2.0136986301369864,46250049,0.5425519970772064,,,
2,10,1.2383561643835617,1.3150684931506849,46250049,0.5425519970772064,,,
2,11,1.7671232876712328,1.3835616438356164,46250049,0.5425519970772064,,,
2,12,1.736986301369863,1.7945205479452055,46250049,0.5425519970772064,,,
2,13,2.0136986301369864,1.8520547945205479,46250049,0.5425519970772064,,,
2,14,2.6027397260273974,2.0684931506849313,46250049,0.5425519970772064,,,
2,15,2.1123287671232878,2.536986301369863,46250049,0.5425519970772064,,,
2,16,1.7123287671232876,1.7945205479452055,46250049,0.5425519970772064,,,
2,17,2.021917808219178,2.0767123287671234,46250049,0.5425519970772064,,,
2,18,2.0602739726027397,2.5287671232876714,46250049,0.5425519970772064,,,
2,19,2.0082191780821916,2.493150684931507,46250049,0.5425519970772064,,,
2,20,1.6657534246575343,2.1616438356164385,46250049,0.5425519970772064,,,
2,21,1.4876712328767123,1.989041095890411,46250049,0.5425519970772064,,,
2,22,0.7808219178082192,0.8958904109589041,46250049,0.5425519970772064,,,
2,23,0.7616438356164383,0.7452054794520548,46250049,0.5425519970772064,,,
3,0,2.186301369863014,1.16986301369863,46250049,0.2393885873225712,,,
3,1,1.2410958904109588,0.7890410958904109,46250049,0.2393885873225712,,,
3,2,0.6383561643835617,0.4273972602739726,46250049,0.2393885873225712,,,
3,3,0.3698630136986301,0.1726027397260274,46250049,0.2393885873225712,,,
3,4,0.1232876712328767,0.136986301369863,46250049,0.2393885873225712,,,
3,5,0.09315068493150686,0.18904109589041096,46250049,0.2393885873225712,,,
3,6,0.3287671232876712,0.4904109589041096,46250049,0.2393885873225712,,,
3,7,2.328767123287671,1.126027397260274,46250049,0.2393885873225712,,,
3,8,2.871232876712329,3.0136986301369864,46250049,0.2393885873225712,,,
3,9,2.378082191780822,3.893150684931507,46250049,0.2393885873225712,,,
3,10,2.367123287671233,1.8986301369863015,46250049,0.2393885873225712,,,
3,11,2.463013698630137,2.3534246575342466,46250049,0.2393885873225712,,,
3,12,2.3424657534246576,2.652054794520548,46250049,0.2393885873225712,,,
3,13,3.5945205479452054,3.1041095890410957,46250049,0.2393885873225712,,,
3,14,3.5232876712328767,3.16986301369863,46250049,0.2393885873225712,,,
3,15,3.6054794520547944,2.7041095890410958,46250049,0.2393885873225712,,,
3,16,2.786301369863014,2.8958904109589043,46250049,0.2393885873225712,,,
3,17,3.3643835616438356,2.9917808219178084,46250049,0.2393885873225712,,,
3,18,2.9972602739726026,3.1534246575342464,46250049,0.2393885873225712,,,
3,19,2.9315068493150687,3.4986301369863013,46250049,0.2393885873225712,,,
3,20,2.271232876712329,3.5397260273972604,46250049,0.2393885873225712,,,
3,21,1.9643835616438357,3.276712328767123,46250049,0.2393885873225712,,,
3,22,1.5534246575342465,1.9479452054794522,46250049,0.2393885873225712,,,
3,23,1.8547945205479452,1.5123287671232877,46250049,0.2393885873225712,,,
4,0,2.3945205479452056,1.1205479452054794,46250049,0.4560923712203826,,,
