,NO2,PM10,PM2_5,O3,bike_trips
mean,22.254669563899455,23.652065907077052,11.337921010027177,53.207268719240204,8666.603174603175
std,10.251496394680121,8.32261375512715,4.374652895269858,21.659396258974624,5987.917764599211
min,4.525,6.78125,2.74375,5.0,144.0
max,70.13513513513513,79.96666666666667,60.15625,107.0,31552.0
