id;mes;dia_semana;tramo_horario;suma_numero_viajes;suma_duracion_total_viajes;suma_tiempo_medio_trayecto_mn;fecha_creacion;fecha_baja
302;Febrero;Sábado;03H - 04H;2104;29976;14.25;20143230;NA
306;Febrero;Sábado;07H - 08H;1772;27912;15.75;20142030;NA
307;Febrero;Sábado;08H - 09H;3456;44076;12.75;20141730;NA
309;Febrero;Sábado;10H - 11H;4964;139768;28.16;20141130;NA
318;Febrero;Sábado;19H - 20H;8064;133424;16.55;20138430;NA
320;Febrero;Sábado;21H - 22H;6124;106068;17.32;20137830;NA
321;Febrero;Sábado;22H - 23H;4540;71472;15.74;20137530;NA
332;Febrero;Domingo;08H - 09H;2616;33568;12.83;20134530;NA
333;Febrero;Domingo;09H - 10H;3364;50836;15.11;20134230;NA
338;Febrero;Domingo;14H - 15H;7012;125720;17.93;20132730;NA
340;Febrero;Domingo;16H - 17H;7548;144996;19.21;20132130;NA
341;Febrero;Domingo;17H - 18H;8460;141520;16.73;20131830;NA
344;Febrero;Domingo;20H - 21H;6260;99792;15.94;20130930;NA
345;Febrero;Domingo;21H - 22H;4836;61328;12.68;20130630;NA
350;Marzo;Lunes;00H - 01H;2232;31820;14.26;20129730;NA
351;Marzo;Lunes;01H - 02H;1068;17244;16.15;20129430;NA
357;Marzo;Lunes;07H - 08H;4864;231960;47.69;20127630;NA
361;Marzo;Lunes;11H - 12H;5932;216340;36.47;20126430;NA
365;Marzo;Lunes;15H - 16H;10088;151280;15.0;20125230;NA
367;Marzo;Lunes;17H - 18H;7904;123612;15.64;20124630;NA
372;Marzo;Lunes;22H - 23H;2676;33232;12.42;20123130;NA
378;Marzo;Martes;03H - 04H;324;4984;15.38;20121630;NA
381;Marzo;Martes;06H - 07H;2496;73040;29.26;20120730;NA
386;Marzo;Martes;11H - 12H;11388;349064;30.65;20119230;NA
387;Marzo;Martes;12H - 13H;11528;530396;46.01;20118930;NA
390;Marzo;Martes;15H - 16H;17252;239052;13.86;20118030;NA
392;Marzo;Martes;17H - 18H;16600;230184;13.87;20117430;NA
395;Marzo;Martes;20H - 21H;14936;217192;14.54;20116530;NA
401;Marzo;Miercoles;01H - 02H;1648;29968;18.18;20115030;NA
402;Marzo;Miércoles;02H - 03H;1148;24748;21.56;20114730;NA
404;Marzo;Miércoles;04H - 05H;1208;17060;14.12;20114130;NA
406;Marzo;Miércoles;06H - 07H;3180;109848;34.54;20113530;NA
410;Marzo;Miércoles;10H - 11H;10832;247440;22.84;20112330;NA
411;Marzo;Miércoles;11H - 12H;11244;256616;22.82;20112030;NA
421;Marzo;Miércoles;21H - 22H;8148;110452;13.56;20109030;NA
423;Marzo;Miércoles;23H - 24H;4256;66432;15.61;20108430;NA
427;Marzo;Jueves;02H - 03H;948;12560;13.25;20107530;NA
441;Marzo;Jueves;16H - 17H;13212;191288;14.48;20103330;NA
443;Marzo;Jueves;18H - 19H;12948;233232;18.01;20102730;NA
451;Marzo;Viernes;01H - 02H;1196;15996;13.37;20100630;NA
454;Marzo;Viernes;04H - 05H;1308;17380;13.29;20099730;NA
463;Marzo;Viernes;13H - 14H;10364;179648;17.33;20097030;NA
465;Marzo;Viernes;15H - 16H;9508;137472;14.46;20096430;NA
469;Marzo;Viernes;19H - 20H;9232;184700;20.01;20095230;NA
470;Marzo;Viernes;20H - 21H;8296;132184;15.93;20094930;NA
473;Marzo;Viernes;23H - 24H;3504;52628;15.02;20094030;NA
477;Marzo;Sábado;02H - 03H;2460;34916;14.19;20093130;NA
478;Marzo;Sábado;03H - 04H;2024;31748;15.69;20092830;NA
479;Marzo;Sábado;04H - 05H;2080;36720;17.65;20092530;NA
481;Marzo;Sábado;06H - 07H;1376;29256;21.26;20091930;NA
482;Marzo;Sábado;07H - 08H;1580;19400;12.28;20091630;NA
487;Marzo;Sábado;12H - 13H;6720;107756;16.04;20090130;NA
489;Marzo;Sábado;14H - 15H;6856;104656;15.26;20089530;NA
490;Marzo;Sábado;15H - 16H;5384;104472;19.4;20089230;NA
492;Marzo;Sábado;17H - 18H;7408;117792;15.9;20088630;NA
496;Marzo;Sábado;21H - 22H;5900;89432;15.16;20087430;NA
498;Marzo;Sábado;23H - 24H;4264;62248;14.6;20086830;NA
500;Marzo;Domingo;00H - 01H;4904;80856;16.49;20086530;NA
501;Marzo;Domingo;01H - 02H;3468;48844;14.08;20086230;NA
502;Marzo;Domingo;02H - 03H;2552;52128;20.43;20085930;NA
504;Marzo;Domingo;04H - 05H;2656;55464;20.88;20085330;NA
509;Marzo;Domingo;09H - 10H;2364;34972;14.79;20083830;NA
512;Marzo;Domingo;12H - 13H;5500;88956;16.17;20082930;NA
513;Marzo;Domingo;13H - 14H;6112;107992;17.67;20082630;NA
515;Marzo;Domingo;15H - 16H;4592;86556;18.85;20082030;NA
518;Marzo;Domingo;18H - 19H;5076;83168;16.38;20081130;NA
519;Marzo;Domingo;19H - 20H;5228;91044;17.41;20080830;NA
521;Marzo;Domingo;21H - 22H;3776;55488;14.69;20080230;NA
527;Abril;Lunes;01H - 02H;1356;17796;13.12;20079030;NA
528;Abril;Lunes;02H - 03H;844;12280;14.55;20078730;NA
529;Abril;Lunes;03H - 04H;676;10664;15.78;20078430;NA
535;Abril;Lunes;09H - 10H;5900;120928;20.5;20076630;NA
536;Abril;Lunes;10H - 11H;6444;204668;31.76;20076330;NA
537;Abril;Lunes;11H - 12H;6868;141140;20.55;20076030;NA
538;Abril;Lunes;12H - 13H;7572;202208;26.7;20075730;NA
542;Abril;Lunes;16H - 17H;8780;136048;15.5;20074530;NA
543;Abril;Lunes;17H - 18H;9796;156956;16.02;20074230;NA
544;Abril;Lunes;18H - 19H;11268;171196;15.19;20073930;NA
549;Abril;Lunes;23H - 24H;2760;42704;15.47;20072430;NA
551;Abril;Martes;00H - 01H;2056;28428;13.83;20072130;NA
552;Abril;Martes;01H - 02H;660;8864;13.43;20071830;NA
553;Abril;Martes;02H - 03H;316;4084;12.92;20071530;NA
555;Abril;Martes;04H - 05H;216;2488;11.52;20070930;NA
556;Abril;Martes;05H - 06H;652;8472;12.99;20070630;NA
560;Abril;Martes;09H - 10H;9884;189808;19.2;20069430;NA
562;Abril;Martes;11H - 12H;8392;146384;17.44;20068830;NA
565;Abril;Martes;14H - 15H;11184;180664;16.15;20067930;NA
569;Abril;Martes;18H - 19H;11344;243484;21.46;20066730;NA
572;Abril;Martes;21H - 22H;7156;102888;14.38;20065830;NA
573;Abril;Martes;22H - 23H;3896;48692;12.5;20065530;NA
576;Abril;Miercoles;00H - 01H;1892;28452;15.04;20064930;NA
579;Abril;Miércoles;03H - 04H;352;7944;22.57;20064030;NA
580;Abril;Miércoles;04H - 05H;288;3932;13.65;20063730;NA
581;Abril;Miércoles;05H - 06H;584;7596;13.01;20063430;NA
582;Abril;Miércoles;06H - 07H;2032;67148;33.05;20063130;NA
584;Abril;Miércoles;08H - 09H;10900;206052;18.9;20062530;NA
585;Abril;Miércoles;09H - 10H;7588;158868;20.94;20062230;NA
589;Abril;Miércoles;13H - 14H;7776;417116;53.64;20061030;NA
592;Abril;Miércoles;16H - 17H;6992;127712;18.27;20060130;NA
595;Abril;Miércoles;19H - 20H;8400;302748;36.04;20059230;NA
596;Abril;Miércoles;20H - 21H;8112;103952;12.81;20058930;NA
597;Abril;Miércoles;21H - 22H;5024;66624;13.26;20058630;NA
605;Abril;Jueves;04H - 05H;508;6788;13.36;20056530;NA
614;Abril;Jueves;13H - 14H;9860;216460;21.95;20053830;NA
621;Abril;Jueves;20H - 21H;11260;166988;14.83;20051730;NA
623;Abril;Jueves;22H - 23H;5272;73500;13.94;20051130;NA
627;Abril;Viernes;01H - 02H;2148;31972;14.88;20050230;NA
629;Abril;Viernes;03H - 04H;1048;14984;14.3;20049630;NA
630;Abril;Viernes;04H - 05H;764;10752;14.07;20049330;NA
631;Abril;Viernes;05H - 06H;956;12488;13.06;20049030;NA
636;Abril;Viernes;10H - 11H;9432;295452;31.32;20047530;NA
638;Abril;Viernes;12H - 13H;11488;440260;38.32;20046930;NA
639;Abril;Viernes;13H - 14H;13304;246788;18.55;20046630;NA
641;Abril;Viernes;15H - 16H;15008;242836;16.18;20046030;NA
644;Abril;Viernes;18H - 19H;14624;524640;35.88;20045130;NA
645;Abril;Viernes;19H - 20H;14668;275232;18.76;20044830;NA
647;Abril;Viernes;21H - 22H;10268;214760;20.92;20044230;NA
649;Abril;Viernes;23H - 24H;6400;159792;24.97;20043630;NA
651;Abril;Sabado;00H - 01H;6012;93380;15.53;20043330;NA
654;Abril;Sábado;03H - 04H;2352;32460;13.8;20042430;NA
657;Abril;Sábado;06H - 07H;1592;21628;13.59;20041530;NA
661;Abril;Sábado;10H - 11H;7832;168220;21.48;20040330;NA
662;Abril;Sábado;11H - 12H;9424;269396;28.59;20040030;NA
663;Abril;Sábado;12H - 13H;10032;258948;25.81;20039730;NA
668;Abril;Sábado;17H - 18H;10620;192832;18.16;20038230;NA
670;Abril;Sábado;19H - 20H;11076;208872;18.86;20037630;NA
672;Abril;Sábado;21H - 22H;7860;127412;16.21;20037030;NA
674;Abril;Sábado;23H - 24H;5232;113292;21.65;20036430;NA
